Link,Library,Bug Type,Bug Status
https://github.com/numpy/numpy/issues/32209,numpy,NaN/Inf,Pending
https://github.com/keras-team/keras/issues/23398,keras,NaN/Inf,Others
https://github.com/keras-team/keras/issues/23399,keras,NaN/Inf,Others
https://github.com/keras-team/keras/issues/23400,keras,NaN/Inf,Others
https://github.com/keras-team/keras/issues/23401,keras,NaN/Inf,Confirmed
https://github.com/jax-ml/jax/issues/39770,jax,NaN/Inf,Pending
https://github.com/jax-ml/jax/issues/39771,jax,NaN/Inf,Pending
https://github.com/jax-ml/jax/issues/39772,jax,NaN/Inf,Pending
https://github.com/PaddlePaddle/Paddle/issues/79618,paddle,NaN/Inf,Pending
https://github.com/PaddlePaddle/Paddle/issues/79619,paddle,NaN/Inf,Pending
https://github.com/PaddlePaddle/Paddle/issues/79620,paddle,NaN/Inf,Pending
https://github.com/PaddlePaddle/Paddle/issues/79621,paddle,Crash/Exception,Pending
https://github.com/scipy/scipy/issues/25823,scipy,NaN/Inf,Confirmed
https://github.com/scipy/scipy/issues/25824,scipy,NaN/Inf,Others
https://github.com/scipy/scipy/issues/25825,scipy,Crash/Exception,Pending
https://github.com/scikit-learn/scikit-learn/issues/34661,sklearn,Crash/Exception,Pending
https://github.com/tensorflow/tensorflow/issues/124772,tensorflow,NaN/Inf,Confirmed
https://github.com/tensorflow/tensorflow/issues/124773,tensorflow,NaN/Inf,Confirmed
https://github.com/tensorflow/tensorflow/issues/124774,tensorflow,NaN/Inf,Confirmed
https://github.com/pytorch/pytorch/issues/192291,torch,NaN/Inf,Others
https://github.com/pytorch/pytorch/issues/192293,torch,NaN/Inf,Confirmed
https://github.com/pytorch/pytorch/issues/192294,torch,NaN/Inf,Others
https://github.com/mindspore-ai/mindspore/issues/397,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/398,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/399,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/400,mindspore,NaN/Inf,Pending
https://github.com/Oneflow-Inc/oneflow/issues/10692,oneflow,NaN/Inf,Confirmed
https://github.com/pytorch/pytorch/issues/187293,torch,NaN/Inf,Others
https://github.com/pytorch/pytorch/issues/187294,torch,NaN/Inf,Fixed
https://github.com/pytorch/pytorch/issues/187295,torch,NaN/Inf,Fixed
https://github.com/pytorch/pytorch/issues/187296,torch,NaN/Inf,Fixed
https://github.com/pytorch/pytorch/issues/187297,torch,NaN/Inf,Others
https://github.com/pytorch/pytorch/issues/185770,torch,NaN/Inf,Fixed
https://github.com/tensorflow/tensorflow/issues/121497,tensorflow,NaN/Inf,Confirmed
https://github.com/tensorflow/tensorflow/issues/121498,tensorflow,NaN/Inf,Fixed
https://github.com/tensorflow/tensorflow/issues/121501,tensorflow,NaN/Inf,Fixed
https://github.com/tensorflow/tensorflow/issues/121502,tensorflow,NaN/Inf,Fixed
https://github.com/jax-ml/jax/issues/38632,jax,NaN/Inf,Others
https://github.com/jax-ml/jax/issues/38634,jax,NaN/Inf,Others
https://github.com/jax-ml/jax/issues/38635,jax,NaN/Inf,Fixed
https://github.com/jax-ml/jax/issues/38636,jax,NaN/Inf,Fixed
https://github.com/jax-ml/jax/issues/38637,jax,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23127,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23128,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23129,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23130,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23131,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23132,keras,NaN/Inf,Fixed
https://github.com/keras-team/keras/issues/23133,keras,NaN/Inf,Fixed
https://github.com/PaddlePaddle/Paddle/issues/79347,paddle,NaN/Inf,Confirmed
https://github.com/PaddlePaddle/Paddle/issues/79348,paddle,NaN/Inf,Fixed
https://github.com/PaddlePaddle/Paddle/issues/79349,paddle,NaN/Inf,Confirmed
https://github.com/PaddlePaddle/Paddle/issues/79350,paddle,NaN/Inf,Confirmed
https://github.com/PaddlePaddle/Paddle/issues/79351,paddle,NaN/Inf,Confirmed
https://github.com/chainer/chainer/issues/8634,chainer,NaN/Inf,Pending
https://github.com/chainer/chainer/issues/8635,chainer,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/367,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/368,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/369,mindspore,NaN/Inf,Pending
https://github.com/mindspore-ai/mindspore/issues/370,mindspore,NaN/Inf,Pending
https://github.com/jax-ml/jax/issues/39105,jax,NaN/Inf,Others
https://github.com/jax-ml/jax/issues/39106,jax,NaN/Inf,Fixed
https://github.com/jax-ml/jax/issues/39107,jax,NaN/Inf,Others
https://github.com/jax-ml/jax/issues/39108,jax,NaN/Inf,Fixed
https://github.com/jax-ml/jax/issues/39109,jax,NaN/Inf,Fixed
https://github.com/opencv/opencv/issues/25139,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25367,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25136,opencv,Crash/Exception,Confirmed
https://github.com/opencv/opencv/issues/26016,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25374,opencv,Crash/Exception,Confirmed
https://github.com/opencv/opencv/issues/25370,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25318,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25259,opencv,Crash/Exception,Fixed
https://github.com/opencv/opencv/issues/25133,opencv,NaN/Inf,Fixed
